stn;time;p24stads;p12stads;p18stads;p06stads;t24200ds;t12200ds;t18200ds;t06200ds;u24200ds;u12200ds;u18200ds;u06200ds
TAE;20250101;956.0;961.7;958.9;963.8;7.5;7.7;6.9;-6.8;39.0;40.9;43.3;90.2
TAE;20250102;955.3;950.5;950.2;953.1;0.6;8.3;4.2;7.1;95.1;47.0;86.8;41.7
TAE;20250103;959.2;957.8;959.0;956.6;-4.5;-0.1;-1.1;-0.7;90.0;79.3;76.9;92.2
TAE;20250104;948.5;955.3;952.8;958.0;-0.8;-2.9;-3.0;-7.8;94.5;85.3;93.3;90.9
TAE;20250105;938.5;943.6;940.5;944.8;5.3;9.5;9.8;5.9;81.9;79.7;70.9;89.0
TAE;20250106;943.1;935.8;938.3;936.3;4.6;10.1;9.3;3.5;86.4;55.1;68.7;82.7
TAE;20250107;944.0;944.7;945.8;943.3;1.0;6.4;4.0;4.3;83.0;67.8;73.9;73.3
TAE;20250108;942.9;942.6;941.5;943.6;9.1;8.0;11.1;4.3;87.0;85.6;66.7;83.5
TAE;20250109;955.4;938.7;944.0;940.6;0.8;10.6;5.8;3.9;82.3;64.3;84.4;94.4
TAE;20250110;955.6;955.8;954.5;955.7;-2.2;2.1;-0.3;0.2;91.9;64.7;86.9;78.1
TAE;20250111;966.0;959.1;962.8;957.1;-3.7;0.4;-2.9;-4.8;85.5;72.6;84.0;94.3
TAE;20250112;972.8;970.0;971.6;968.0;-2.2;0.6;-2.5;-4.7;76.2;64.0;81.8;86.7
TAE;20250113;970.1;971.9;971.7;972.9;-4.2;-2.1;-3.3;-5.9;86.9;74.9;78.3;85.6
TAE;20250114;967.2;968.7;968.2;969.5;-6.8;-3.3;-4.7;-4.1;88.6;79.9;85.2;80.2
TAE;20250115;966.8;966.4;966.7;966.2;0.4;0.1;0.7;-3.1;92.6;84.2;92.6;86.4
TAE;20250116;969.3;968.5;969.5;967.0;0.1;2.2;1.2;1.1;87.1;75.8;81.7;83.3
TAE;20250117;967.0;969.6;968.8;970.1;-1.0;0.4;-1.1;-0.2;84.7;78.7;84.9;82.9
TAE;20250118;960.9;964.5;962.8;965.6;-2.1;-1.5;-1.8;-1.7;92.7;81.9;89.9;84.1
TAE;20250119;956.3;956.8;956.1;958.0;-3.6;-2.0;-1.9;-2.9;100.0;89.9;94.3;94.7
TAE;20250120;953.9;955.9;954.5;955.9;-3.0;-2.1;-1.1;-5.8;97.2;93.3;95.0;97.9
TAE;20250121;950.9;954.1;952.9;954.4;-2.2;-2.0;-1.1;-4.8;96.9;98.5;99.5;96.8
TAE;20250122;942.9;947.3;945.2;949.2;-1.2;-0.4;0.2;-3.4;95.3;91.7;95.1;94.6
TAE;20250123;951.7;950.1;952.3;941.8;4.4;4.8;3.5;0.4;77.4;80.5;86.7;92.9
TAE;20250124;948.4;949.8;949.9;951.3;3.6;10.3;10.5;1.7;72.4;48.1;36.0;88.2
TAE;20250125;946.5;947.6;946.9;947.7;9.2;15.2;6.0;4.2;64.1;31.6;73.9;68.4
TAE;20250126;941.8;948.6;946.6;948.5;3.9;8.8;4.4;6.3;75.3;48.5;68.9;60.7
TAE;20250127;939.0;940.7;941.8;939.8;5.1;9.1;5.7;4.8;93.8;83.5;87.4;87.7
TAE;20250128;943.0;939.0;939.4;937.7;5.2;5.4;4.6;4.0;75.3;80.1;74.3;87.1
TAE;20250129;948.1;948.5;947.9;946.5;-1.0;8.6;1.1;6.1;92.4;53.7;90.5;73.6
TAE;20250130;959.0;953.0;955.3;950.6;5.2;7.2;5.2;-0.5;88.1;58.7;75.3;90.4
TAE;20250131;963.3;963.3;963.5;961.1;1.8;3.0;2.7;4.4;83.4;86.8;88.9;91.1
TAE;20250201;960.3;962.1;961.7;962.3;0.6;1.0;0.9;1.2;93.7;88.3;89.1;85.3
TAE;20250202;960.5;958.3;959.8;958.3;0.4;1.2;1.1;0.8;89.9;86.0;87.5;86.4
TAE;20250203;963.6;962.4;963.1;961.6;0.5;1.2;1.1;0.2;89.7;87.4;85.8;88.7
TAE;20250204;968.5;964.3;965.5;964.1;-3.8;3.2;-0.7;0.3;94.0;73.6;90.6;83.9
TAE;20250205;972.1;972.0;972.5;970.5;-0.8;-1.1;-1.5;-4.0;95.0;93.3;91.1;99.2
TAE;20250206;963.2;969.3;966.5;970.9;0.0;0.7;0.8;-0.3;87.2;92.1;91.5;87.8
TAE;20250207;957.4;959.0;956.3;960.8;-2.5;1.8;1.9;0.1;91.8;74.7;77.4;84.6
TAE;20250208;959.5;956.8;956.9;957.3;0.9;1.7;0.2;-3.9;89.4;82.8;89.1;95.1
TAE;20250209;961.1;962.3;962.0;961.7;-0.9;5.9;0.4;3.1;94.3;69.9;90.8;86.5
TAE;20250210;957.8;958.7;957.0;959.9;3.5;4.3;4.6;-0.8;94.1;83.3;86.7;95.1
